Id,Firstname,Surname,Borncountry,Borncountry code,Born city,Gender,Year,Category,Motivation,Organization name,Organization city,Organization country,latitude,longitude
441,Harold E.,Varmus,USA,US,Oceanside NY,male,1989,Medicine,"""for their discovery of the cellular origin of retroviral oncogenes""",University of California School of Medicine,San Francisco CA,USA,45.68753334,-112.4943339
454,Eric F.,Wieschaus,USA,US,South Bend IN,male,1995,Medicine,"""for their discoveries concerning the genetic control of early embryonic development""",Princeton University,Princeton NJ,USA,45.68753334,-112.4943339
467,Institute of International Law,,,,,org,1904,Peace,"""for its striving in public law to develop peaceful ties between nations and to make the laws of war more humane""",,,,,
495,Nathan,Söderblom,Sweden,SE,Trönö,male,1930,Peace,"""for promoting Christian unity and helping create 'that new attitude of mind which is necessary if peace between nations is to become reality'""",,,,,
551,Lhamo,Thondup,Tibet (now China),CN,Taktser,male,1989,Peace,"""for advocating peaceful solutions based upon tolerance and mutual respect in order to preserve the historical and cultural heritage of his people""",,,,,
554,Rigoberta,Menchú Tum,Guatemala,GT,Aldea Chimel,female,1992,Peace,"""for her struggle for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples""",,,,,
571,Theodor,Mommsen,Schleswig (now Germany),DE,Garding,male,1902,Literature,"""the greatest living master of the art of historical writing with special reference to his monumental work .A history of Rome""",,,,,
588,Carl,Spitteler,Switzerland,CH,Liestal,male,1919,Literature,"""in special appreciation of his epic <I>Olympian Spring""",,,,,
644,Alexandr,Solzhenitsyn,Russia,RU,Kislovodsk,male,1970,Literature,"""for the ethical force with which he has pursued the indispensable traditions of Russian literature""",,,,,
649,Eyvind,Johnson,Sweden,SE,Svartbjörnsbyn,male,1974,Literature,"""for a narrative art far-seeing in lands and ages in the service of freedom""",,,,,
781,Irwin,Rose,USA,US,Brooklyn NY,male,2004,Chemistry,"""for the discovery of ubiquitin-mediated protein degradation""",University of California,Irvine CA,USA,45.68753334,-112.4943339
790,J. Robin,Warren,Australia,AU,Adelaide,male,2005,Medicine,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease""",,,,,
811,Mario R.,Capecchi,Italy,IT,Verona,male,2007,Medicine,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",University of Utah,Salt Lake City UT,USA,45.68753334,-112.4943339
847,Oliver E.,Williamson,USA,US,Superior WI,male,2009,Economics,"""for his analysis of economic governance especially the boundaries of the firm""",University of California,Berkeley CA,USA,45.68753334,-112.4943339
940,Michael W.,Young,USA,US,Miami FL,male,2017,Medicine,"""for their discoveries of molecular mechanisms controlling the circadian rhythm""",Rockefeller University,New York NY,USA,45.68753334,-112.4943339
976,John,Goodenough,Germany,DE,Jena,male,2019,Chemistry,"""for the development of lithium-ion batteries""",University of Texas,Austin TX,USA,45.68753334,-112.4943339
980,Peter,Handke,Austria,AT,Griffen,male,2019,Literature,"""for an influential work that with linguistic ingenuity has explored the periphery and the specificity of human experience""",,,,,
998,Ardem,Patapoutian,Lebanon,LB,Beirut,male,2021,Medicine,"""for their discoveries of receptors for temperature and touch""",Scripps Research,La Jolla CA,USA,45.68753334,-112.4943339
999,Syukuro,Manabe,Japan,JP,Shingu Ehime,male,2021,Physics,"""for the physical modelling of Earth’s climate quantifying variability and reliably predicting global warming""",Princeton University,Princeton NJ,USA,45.68753334,-112.4943339
3,Pieter,Zeeman,the Netherlands,NL,Zonnemaire,male,1902,Physics,"""in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena""",Amsterdam University,Amsterdam,the Netherlands,52.07241686,5.221591771
22,Charles Glover,Barkla,United Kingdom,GB,Widnes,male,1917,Physics,"""for his discovery of the characteristic R&ouml;ntgen radiation of the elements""",Edinburgh University,Edinburgh,United Kingdom,,
37,Sir Chandrasekhara Venkata,Raman,India,IN,Tiruchirappalli,male,1930,Physics,"""for his work on the scattering of light and for the discovery of the effect named after him""",Calcutta University,Calcutta,India,22.88810028,79.61589358
76,Rudolf,Mössbauer,Germany,DE,Munich,male,1961,Physics,"""for his researches concerning the resonance absorption of gamma radiation and his discovery in this connection of the effect which bears his name""",Technical University,Munich,Germany,51.10627344,10.38171087
101,Antony,Hewish,United Kingdom,GB,Fowey,male,1974,Physics,"""for their pioneering research in radio astrophysics: Ryle for his observations and inventions in particular of the aperture synthesis technique and Hewish for his decisive role in the discovery of pulsars""",University of Cambridge,Cambridge,United Kingdom,,
239,Luis,Leloir,France,FR,Paris,male,1970,Chemistry,"""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates""",Institute for Biochemical Research,Buenos Aires,Argentina,-35.38747534,-65.17827082
328,William P.,Murphy,USA,US,Stoughton WI,male,1934,Medicine,"""for their discoveries concerning liver therapy in cases of anaemia""",Harvard University,Cambridge MA,USA,45.68753334,-112.4943339
333,Corneille,Heymans,Belgium,BE,Ghent,male,1938,Medicine,"""for the discovery of the role played by the sinus and aortic mechanisms in the regulation of respiration""",Ghent University,Ghent,Belgium,50.63754659,4.639669963
348,Egas,Moniz,Portugal,PT,Avanca,male,1949,Medicine,"""for his discovery of the therapeutic value of leucotomy in certain psychoses""",University of Lisbon,Lisbon,Portugal,39.58793157,-8.586797731
