awardyear,category,categoryfullname,sortorder,prizeamount,motivation,award_link,id,name,fullname,gender,laureate_link,birth_date,birth_citynow,birth_continent,birth_countryNow,birth_locationstring
2001,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2,10000000,for their analyses of markets with asymmetric information,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2001,745,A. Michael Spence,A. Michael Spence,male,http://masterdataapi.nobelprize.org/2/laureate/745,1943-00-00,"Montclair, NJ",North America,USA,"Montclair, NJ, USA"
1975,Physics,The Nobel Prize in Physics,1,630000,for the discovery of the connection between collective motion and particle motion in atomic nuclei and the development of the theory of the structure of the atomic nucleus based on this connection,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1975,102,Aage N. Bohr,Aage Niels Bohr,male,http://masterdataapi.nobelprize.org/2/laureate/102,19/06/1922,Copenhagen,Europe,Denmark,"Copenhagen, Denmark"
2004,Chemistry,The Nobel Prize in Chemistry,1,10000000,for the discovery of ubiquitin-mediated protein degradation,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2004,779,Aaron Ciechanover,Aaron Ciechanover,male,http://masterdataapi.nobelprize.org/2/laureate/779,1/10/1947,Haifa,Asia,Israel,"Haifa, British Protectorate of Palestine (now Israel)"
1982,Chemistry,The Nobel Prize in Chemistry,1,1150000,for his development of crystallographic electron microscopy and his structural elucidation of biologically important nucleic acid-protein complexes,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1982,259,Aaron Klug,Aaron Klug,male,http://masterdataapi.nobelprize.org/2/laureate/259,11/08/1926,Zelvas,Europe,Lithuania,"Zelvas, Lithuania"
1979,Physics,The Nobel Prize in Physics,2,800000,"for their contributions to the theory of the unified weak and electromagnetic interaction between elementary particles, including, inter alia, the prediction of the weak neutral current",https://masterdataapi.nobelprize.org/2/nobelPrize/phy/1979,114,Abdus Salam,Abdus Salam,male,http://masterdataapi.nobelprize.org/2/laureate/114,29/01/1926,Jhang Maghiāna,Asia,Pakistan,"Jhang Maghiāna, India (now Pakistan)"
2019,Economic Sciences,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1,9000000,for their experimental approach to alleviating global poverty,https://masterdataapi.nobelprize.org/2/nobelPrize/eco/2019,982,Abhijit Banerjee,Abhijit Banerjee,male,http://masterdataapi.nobelprize.org/2/laureate/982,21/02/1961,Mumbai,Asia,India,"Mumbai, India"
2019,Peace,The Nobel Peace Prize,1,9000000,"for his efforts to achieve peace and international cooperation, and in particular for his decisive initiative to resolve the border conflict with neighbouring Eritrea",https://masterdataapi.nobelprize.org/2/nobelPrize/pea/2019,981,Abiy Ahmed Ali,Abiy Ahmed Ali,male,http://masterdataapi.nobelprize.org/2/laureate/981,15/08/1976,Beshasha,Africa,Ethiopia,"Beshasha, Ethiopia"
2009,Chemistry,The Nobel Prize in Chemistry,3,10000000,for studies of the structure and function of the ribosome,https://masterdataapi.nobelprize.org/2/nobelPrize/che/2009,843,Ada E. Yonath,Ada E. Yonath,female,http://masterdataapi.nobelprize.org/2/laureate/843,22/06/1939,Jerusalem,Asia,Israel,"Jerusalem, British Mandate of Palestine (now Israel)"
2011,Physics,The Nobel Prize in Physics,3,10000000,for the discovery of the accelerating expansion of the Universe through observations of distant supernovae,https://masterdataapi.nobelprize.org/2/nobelPrize/phy/2011,866,Adam G. Riess,Adam G. Riess,male,http://masterdataapi.nobelprize.org/2/laureate/866,16/12/1969,"Washington, DC",North America,USA,"Washington, DC, USA"
1939,Chemistry,The Nobel Prize in Chemistry,1,148822,for his work on sex hormones,https://masterdataapi.nobelprize.org/2/nobelPrize/che/1939,199,Adolf Butenandt,Adolf Friedrich Johann Butenandt,male,http://masterdataapi.nobelprize.org/2/laureate/199,24/03/1903,Bremerhaven-Lehe,Europe,Germany,"Bremerhaven-Lehe, Germany"
