Id,Firstname,Surname,Borncountry,Borncountry code,Born city,Gender,Year,Category,Motivation,Organization name,Organization city,Organization country,latitude,longitude
239,Luis,Leloir,France,FR,Paris,male,1970,Chemistry,"""for his discovery of sugar nucleotides and their role in the biosynthesis of carbohydrates""",Institute for Biochemical Research,Buenos Aires,Argentina,-35.38747534,-65.17827082
345,Bernardo,Houssay,Argentina,AR,Buenos Aires,male,1947,Medicine,"""for his discovery of the part played by the hormone of the anterior pituitary lobe in the metabolism of sugar""",Instituto de Biologia y Medicina Experimental (Institute for Biology and Experimental Medicine),Buenos Aires,Argentina,-35.38747534,-65.17827082
369,Sir Frank Macfarlane,Burnet,Australia,AU,Traralgon,male,1960,Medicine,"""for discovery of acquired immunological tolerance""",Walter and Eliza Hall Institute for Medical Research,Melbourne,Australia,-25.73238311,134.4911178
375,Sir John,Eccles,Australia,AU,Melbourne,male,1963,Medicine,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",Australian National University,Canberra,Australia,-25.73238311,134.4911178
789,Barry J.,Marshall,Australia,AU,Kalgoorlie,male,2005,Medicine,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease""",NHMRC Helicobacter pylori Research Laboratory QEII Medical Centre,Nedlands,Australia,-25.73238311,134.4911178
865,Brian P.,Schmidt,USA,US,Missoula MT,male,2011,Physics,"""for the discovery of the accelerating expansion of the Universe through observations of distant supernovae""",Australian National University,Weston Creek,Australia,-25.73238311,134.4911178
37,Sir Chandrasekhara Venkata,Raman,India,IN,Tiruchirappalli,male,1930,Physics,"""for his work on the scattering of light and for the discovery of the effect named after him""",Calcutta University,Calcutta,India,22.88810028,79.61589358
779,Aaron,Ciechanover,British Protectorate of Palestine (now Israel),IL,Haifa,male,2004,Chemistry,"""for the discovery of ubiquitin-mediated protein degradation""",Technion - Israel Institute of Technology,Haifa,Israel,31.44486066,34.99642345
780,Avram,Hershko,Hungary,HU,Karcag,male,2004,Chemistry,"""for the discovery of ubiquitin-mediated protein degradation""",Technion - Israel Institute of Technology,Haifa,Israel,31.44486066,34.99642345
799,Robert J.,Aumann,Germany,DE,Frankfurt-on-the-Main,male,2005,Economics,"""for having enhanced our understanding of conflict and cooperation through game-theory analysis""",University of Jerusalem Center for RationalityHebrew,Jerusalem,Israel,31.44486066,34.99642345
843,Ada E.,Yonath,British Mandate of Palestine (now Israel),IL,Jerusalem,female,2009,Chemistry,"""for studies of the structure and function of the ribosome""",Weizmann Institute of Science,Rehovot,Israel,31.44486066,34.99642345
867,Dan,Shechtman,British Mandate of Palestine (now Israel),IL,Tel Aviv,male,2011,Chemistry,"""for the discovery of quasicrystals""",Technion - Israel Institute of Technology,Haifa,Israel,31.44486066,34.99642345
318,Charles,Nicolle,France,FR,Rouen,male,1928,Medicine,"""for his work on typhus""",Institut Pasteur,Tunis,Tunisia,34.11949458,9.554885106
